Date,Close/Last,Volume,Open,High,Low,Adjusted Close
10/01/2021,23.47,N/A,23.47,23.47,23.47,23.47
09/30/2021,22.97,N/A,22.97,22.97,22.97,22.97
09/29/2021,23.26,N/A,23.26,23.26,23.26,23.26
09/28/2021,23.27,N/A,23.27,23.27,23.27,23.27
09/27/2021,23.71,N/A,23.71,23.71,23.71,23.71
09/24/2021,23.35,N/A,23.35,23.35,23.35,23.35
09/23/2021,23.4,N/A,23.4,23.4,23.4,23.4
09/22/2021,22.94,N/A,22.94,22.94,22.94,22.94
09/21/2021,22.63,N/A,22.63,22.63,22.63,22.63
09/20/2021,22.64,N/A,22.64,22.64,22.64,22.64
09/17/2021,23.13,N/A,23.13,23.13,23.13,23.13
09/16/2021,23.09,N/A,23.09,23.09,23.09,23.09
09/15/2021,23.1,N/A,23.1,23.1,23.1,23.1
09/14/2021,22.84,N/A,22.84,22.84,22.84,22.84
09/13/2021,23.15,N/A,23.15,23.15,23.15,23.15
09/10/2021,22.89,N/A,22.89,22.89,22.89,22.89
09/09/2021,23.08,N/A,23.08,23.08,23.08,23.08
09/08/2021,23.13,N/A,23.13,23.13,23.13,23.13
09/07/2021,23.36,N/A,23.36,23.36,23.36,23.36
09/03/2021,23.53,N/A,23.53,23.53,23.53,23.53
09/02/2021,23.63,N/A,23.63,23.63,23.63,23.63
09/01/2021,23.48,N/A,23.48,23.48,23.48,23.48
08/31/2021,23.37,N/A,23.37,23.37,23.37,23.37
08/30/2021,23.3,N/A,23.3,23.3,23.3,23.3
08/27/2021,23.43,N/A,23.43,23.43,23.43,23.43
08/26/2021,22.8,N/A,22.8,22.8,22.8,22.8
08/25/2021,23.06,N/A,23.06,23.06,23.06,23.06
08/24/2021,22.92,N/A,22.92,22.92,22.92,22.92
08/23/2021,22.72,N/A,22.72,22.72,22.72,22.72
08/20/2021,22.36,N/A,22.36,22.36,22.36,22.36
08/19/2021,22.02,N/A,22.02,22.02,22.02,22.02
08/18/2021,22.31,N/A,22.31,22.31,22.31,22.31
08/17/2021,22.5,N/A,22.5,22.5,22.5,22.5
08/16/2021,22.74,N/A,22.74,22.74,22.74,22.74
08/13/2021,22.87,N/A,22.87,22.87,22.87,22.87
08/12/2021,23.01,N/A,23.01,23.01,23.01,23.01
08/11/2021,23.09,N/A,23.09,23.09,23.09,23.09
08/10/2021,22.91,N/A,22.91,22.91,22.91,22.91
08/09/2021,22.75,N/A,22.75,22.75,22.75,22.75
08/06/2021,22.94,N/A,22.94,22.94,22.94,22.94
08/05/2021,22.89,N/A,22.89,22.89,22.89,22.89
08/04/2021,22.44,N/A,22.44,22.44,22.44,22.44
08/03/2021,22.82,N/A,22.82,22.82,22.82,22.82
08/02/2021,22.7,N/A,22.7,22.7,22.7,22.7
07/30/2021,22.81,N/A,22.81,22.81,22.81,22.81
07/29/2021,22.97,N/A,22.97,22.97,22.97,22.97
07/28/2021,22.78,N/A,22.78,22.78,22.78,22.78
07/27/2021,22.51,N/A,22.51,22.51,22.51,22.51
07/26/2021,22.7,N/A,22.7,22.7,22.7,22.7
07/23/2021,22.61,N/A,22.61,22.61,22.61,22.61
07/22/2021,22.47,N/A,22.47,22.47,22.47,22.47
07/21/2021,22.81,N/A,22.81,22.81,22.81,22.81
07/20/2021,22.46,N/A,22.46,22.46,22.46,22.46
07/19/2021,21.85,N/A,21.85,21.85,21.85,21.85
07/16/2021,22.31,N/A,22.31,22.31,22.31,22.31
07/15/2021,22.59,N/A,22.59,22.59,22.59,22.59
07/14/2021,22.72,N/A,22.72,22.72,22.72,22.72
07/13/2021,22.97,N/A,22.97,22.97,22.97,22.97
07/12/2021,23.36,N/A,23.36,23.36,23.36,23.36
07/09/2021,23.31,N/A,23.31,23.31,23.31,23.31
07/08/2021,22.77,N/A,22.77,22.77,22.77,22.77
07/07/2021,23.04,N/A,23.04,23.04,23.04,23.04
07/06/2021,23.14,N/A,23.14,23.14,23.14,23.14
07/02/2021,23.51,N/A,23.51,23.51,23.51,23.51
07/01/2021,23.74,N/A,23.74,23.74,23.74,23.74
06/30/2021,23.54,N/A,23.54,23.54,23.54,23.54
06/29/2021,23.49,N/A,23.49,23.49,23.49,23.49
06/28/2021,23.69,N/A,23.69,23.69,23.69,23.69
06/25/2021,23.94,N/A,23.94,23.94,23.94,23.94
06/24/2021,23.89,N/A,23.89,23.89,23.89,23.89
06/23/2021,23.57,N/A,23.57,23.57,23.57,23.57
06/22/2021,23.5,N/A,23.5,23.5,23.5,23.5
06/21/2021,23.44,N/A,23.44,23.44,23.44,23.44
06/18/2021,22.97,N/A,22.97,22.97,22.97,22.97
06/17/2021,23.51,N/A,23.51,23.51,23.51,23.51
06/16/2021,23.87,N/A,23.87,23.87,23.87,23.87
06/15/2021,23.9,N/A,23.9,23.9,23.9,23.9
06/14/2021,23.87,N/A,23.87,23.87,23.87,23.87
06/11/2021,24.04,N/A,24.04,24.04,24.04,24.04
06/10/2021,23.84,N/A,23.84,23.84,23.84,23.84
06/09/2021,24.03,N/A,24.03,24.03,24.03,24.03
06/08/2021,24.13,N/A,24.13,24.13,24.13,24.13
06/07/2021,23.9,N/A,23.9,23.9,23.9,23.9
06/04/2021,23.66,N/A,23.66,23.66,23.66,23.66
06/03/2021,23.6,N/A,23.6,23.6,23.6,23.6
06/02/2021,23.7,N/A,23.7,23.7,23.7,23.7
