Date,Close/Last,Volume,Open,High,Low
09/13/2021,$20.5625,96924,$20.12,$20.995,$20.12
09/10/2021,$21.02,273734,$21.3,$21.35,$21.02
09/09/2021,$20.99,266649,$20.5,$21.2,$20.5
09/08/2021,$21.285,245071,$21.6,$22,$21.25
09/07/2021,$21.8,13527,$21.505,$22.03,$21.505
09/03/2021,$21.3125,23879,$21,$21.55,$21
09/02/2021,$21.35,232956,$22.5,$22.5,$21.35
09/01/2021,$21.6,42911,$21.35,$21.82,$21.25
08/31/2021,$21.1,50233,$21.25,$21.25,$20.85
08/30/2021,$20.5,209289,$20.5,$20.5,$19.9
08/27/2021,$19.97,31056,$20.35,$20.35,$19.9
08/26/2021,$20.8,266787,$21.2,$21.2,$20.5
08/25/2021,$21.1,109874,$21.4,$21.75,$20.82
08/24/2021,$21.545,68462,$21.75,$21.75,$21
08/23/2021,$20.08,607289,$20.24,$20.24,$19.2
08/20/2021,$19.9899,388981,$20,$21.21,$19.62
08/19/2021,$20,277188,$21.54,$21.54,$20
08/18/2021,$21.8,98072,$21.2,$22.16,$21.2
08/17/2021,$21.66,8261,$22.54,$22.54,$21.46
08/16/2021,$23.14,145754,$23.01,$23.69,$22.59
08/13/2021,$23.27,148006,$23.65,$23.8495,$23.27
08/12/2021,$24.01,168238,$24.18,$24.18,$23.39
08/11/2021,$24.3,164504,$24.36,$24.36,$23.87
08/10/2021,$24.63,155281,$23.88,$24.83,$23.88
08/09/2021,$24.365,70566,$24.4,$24.45,$24.07
08/06/2021,$24.5,8294,$24.5,$24.675,$24.5
08/05/2021,$24.88,1175,$24.66,$25.06,$24.66
08/04/2021,$25.0043,71565,$25.29,$25.45,$24.46
08/03/2021,$25.45,3431,$24.09,$25.45,$24.09
08/02/2021,$25.2,4061,$24.69,$25.2,$24.34
07/30/2021,$24.31,59652,$24.43,$24.58,$24.27
07/29/2021,$25.165,207054,$25.96,$25.96,$24.37
07/28/2021,$23.6,463965,$24.02,$24.73,$23.58
07/27/2021,$23.1,95461,$22.69,$24.02,$22.1
07/26/2021,$23.71,51965,$25,$25.65,$23.71
07/23/2021,$25.88,3741,$26.73,$26.73,$25.61
07/22/2021,$26.48,52930,$27,$27,$26.18
07/21/2021,$26.18,120997,$26.98,$27.09,$26.18
07/20/2021,$26.25,214545,$25.35,$26.27,$25.35
07/19/2021,$26.47,8111,$26,$26.47,$25.97
07/16/2021,$27,N/A,$27,$27,$27
07/15/2021,$27,557530,$27.62,$27.62,$25.93
07/14/2021,$27.13,182954,$27.015,$27.13,$26.48
07/13/2021,$26.45,123147,$25.8,$26.45,$25.75
07/12/2021,$25.8,42810,$26.5,$26.5,$25.53
07/09/2021,$26,39323,$25,$26.5,$25
07/08/2021,$25.5,173161,$26.02,$26.02,$25.07
07/07/2021,$26.1,6957,$27.51,$27.51,$26.08
07/06/2021,$26.04,41097,$26.295,$27.75,$25.99
07/02/2021,$27.26,54263,$27.51,$28.29,$27
07/01/2021,$27.76,1642,$28.4,$28.44,$27.76
06/30/2021,$28.5,73492,$29,$29,$28.5
06/29/2021,$29.1199,220913,$28.97,$29.1199,$27.98
06/28/2021,$28.96,100393,$29.46,$29.46,$27.75
06/25/2021,$28.5,166711,$27.5,$28.5,$27.41
06/24/2021,$26.7,264970,$27,$27.2,$26.7
06/23/2021,$26.99,19624,$26.8,$26.99,$26.5
06/22/2021,$26.0665,105577,$26.8,$26.8,$26.0665
06/21/2021,$26,85401,$25.66,$27.07,$25.66
06/18/2021,$26.48,340970,$26.5,$27,$26.48
06/17/2021,$26,66362,$26.5,$26.95,$26
06/16/2021,$26.45,21500,$26,$26.91,$26
06/15/2021,$26.535,1991,$26.57,$26.63,$26.35
06/14/2021,$26.7,60154,$27.08,$27.08,$26.5
06/11/2021,$26.75,127874,$26.82,$26.82,$26.35
06/10/2021,$26.9,143206,$26.34,$27.57,$26.34
06/09/2021,$26.75,120300,$27.73,$27.73,$26.75
06/08/2021,$27.5,84145,$28.02,$28.02,$26.98
06/07/2021,$27.8,58588,$28.22,$28.22,$27
06/04/2021,$27.3412,278459,$28,$28,$27.07
06/03/2021,$27.1,178045,$27.75,$27.98,$27.1
06/02/2021,$27.5,376986,$27.07,$27.83,$27.07
